Make,Year,Engine Size (L),Fuel Type,Average_Price
Audi,2010,1.0,Electric,35894.12
Audi,2010,1.0,Hybrid,30058.78
Audi,2010,1.0,Petrol,76128.04
Audi,2010,1.1,Diesel,50207.22
Audi,2010,1.1,Electric,67350.38
Audi,2010,1.2,Electric,20226.11
Audi,2010,1.2,Hybrid,47304.69
Audi,2010,1.3,Diesel,57510.22
Audi,2010,1.3,Electric,46756.06
Audi,2010,1.3,Petrol,23097.2
Audi,2010,1.4,Petrol,21527.8
Audi,2010,1.5,Petrol,79174.7
Audi,2010,1.6,Hybrid,62058.31
Audi,2010,1.7,Hybrid,46362.33
Audi,2010,1.7,Petrol,59235.35
Audi,2010,1.8,Diesel,48351.73
Audi,2010,1.8,Hybrid,44184.14
Audi,2010,1.9,Petrol,77100.65
Audi,2010,2.0,Petrol,41643.07
Audi,2010,2.1,Electric,38652.86
Audi,2010,2.1,Petrol,37707.49
Audi,2010,2.2,Petrol,56877.26
Audi,2010,2.3,Diesel,47411.38
Audi,2010,2.4,Diesel,31560.96
Audi,2010,2.4,Electric,66846.05
Audi,2010,2.4,Hybrid,62353.4
Audi,2010,2.4,Petrol,34213.18
Audi,2010,2.5,Electric,58822.75
Audi,2010,2.5,Hybrid,53726.08
Audi,2010,2.5,Petrol,26913.0
Audi,2010,2.7,Hybrid,43413.36
Audi,2010,2.7,Petrol,24827.18
Audi,2010,2.8,Diesel,78736.15
Audi,2010,2.9,Electric,53718.75
Audi,2010,2.9,Petrol,69098.6
Audi,2010,3.0,Diesel,73398.55
Audi,2010,3.1,Diesel,34490.45
Audi,2010,3.1,Electric,48093.68
Audi,2010,3.2,Electric,72260.42
Audi,2010,3.3,Diesel,15601.19
Audi,2010,3.3,Hybrid,47726.78
Audi,2010,3.5,Electric,60110.94
Audi,2010,3.5,Hybrid,46366.95
Audi,2010,3.6,Diesel,77052.49
Audi,2010,3.6,Electric,32005.93
Audi,2010,3.6,Petrol,63319.99
Audi,2010,3.7,Diesel,20687.0
Audi,2010,3.7,Electric,24111.85
Audi,2010,3.7,Petrol,72879.41
Audi,2010,4.0,Electric,28278.46
Audi,2010,4.0,Petrol,66618.68
Audi,2010,4.1,Diesel,55889.48
Audi,2010,4.1,Hybrid,21449.7
Audi,2010,4.1,Petrol,53490.17
Audi,2010,4.2,Diesel,54366.29
Audi,2010,4.2,Petrol,28430.43
Audi,2010,4.3,Electric,45958.67
Audi,2010,4.3,Hybrid,72216.36
Audi,2010,4.4,Diesel,32220.38
Audi,2010,4.4,Electric,78931.02
Audi,2010,4.4,Hybrid,44288.73
Audi,2010,4.5,Petrol,24606.12
Audi,2010,4.6,Diesel,37678.34
Audi,2010,4.7,Electric,61391.84
Audi,2010,4.7,Petrol,57577.8
Audi,2010,4.8,Diesel,72683.22
Audi,2010,4.8,Electric,18203.85
Audi,2010,4.8,Hybrid,30605.2
Audi,2010,4.8,Petrol,50416.88
Audi,2010,4.9,Hybrid,24528.29
Audi,2010,4.9,Petrol,65263.44
Audi,2010,5.0,Diesel,47090.22
Audi,2010,5.0,Petrol,36375.4
Audi,2011,1.1,Diesel,56338.36
Audi,2011,1.1,Electric,59604.35
Audi,2011,1.1,Hybrid,22179.4
Audi,2011,1.1,Petrol,18686.56
Audi,2011,1.2,Diesel,48461.25
Audi,2011,1.2,Electric,78172.9
Audi,2011,1.2,Hybrid,41301.81
Audi,2011,1.3,Diesel,56889.9
Audi,2011,1.3,Hybrid,66016.57
Audi,2011,1.4,Petrol,46932.53
Audi,2011,1.5,Diesel,15783.43
Audi,2011,1.5,Hybrid,33355.43
Audi,2011,1.6,Diesel,58583.74
Audi,2011,1.6,Hybrid,42276.14
Audi,2011,1.6,Petrol,38045.42
Audi,2011,1.7,Diesel,45833.35
Audi,2011,1.7,Hybrid,73793.22
Audi,2011,1.8,Electric,20879.23
Audi,2011,1.9,Electric,17159.41
Audi,2011,1.9,Petrol,47293.46
Audi,2011,2.0,Diesel,21815.14
Audi,2011,2.0,Electric,65120.81
Audi,2011,2.1,Hybrid,36895.9
Audi,2011,2.2,Electric,52320.94
Audi,2011,2.2,Hybrid,29130.56
Audi,2011,2.2,Petrol,44974.0
Audi,2011,2.3,Diesel,26275.52
Audi,2011,2.3,Electric,77479.45
Audi,2011,2.4,Electric,61573.99
Audi,2011,2.4,Hybrid,22570.86
Audi,2011,2.4,Petrol,40096.24
Audi,2011,2.5,Electric,72141.83
Audi,2011,2.6,Diesel,27159.02
Audi,2011,2.7,Electric,41348.83
Audi,2011,2.7,Hybrid,23329.84
Audi,2011,2.7,Petrol,57471.1
Audi,2011,2.8,Diesel,63078.48
Audi,2011,2.8,Hybrid,61645.27
Audi,2011,2.9,Diesel,27762.53
Audi,2011,2.9,Electric,53627.65
Audi,2011,3.0,Electric,34614.52
Audi,2011,3.1,Diesel,52941.17
Audi,2011,3.1,Petrol,38510.98
Audi,2011,3.2,Electric,76994.27
Audi,2011,3.2,Petrol,23496.76
Audi,2011,3.3,Electric,60783.22
Audi,2011,3.3,Petrol,42385.45
Audi,2011,3.4,Electric,48442.38
Audi,2011,3.4,Petrol,51243.68
Audi,2011,3.5,Petrol,43912.5
Audi,2011,3.6,Hybrid,31710.39
Audi,2011,3.7,Diesel,62985.38
Audi,2011,3.7,Electric,20999.92
Audi,2011,3.7,Hybrid,58168.79
Audi,2011,3.8,Hybrid,28485.14
Audi,2011,3.8,Petrol,70944.78
Audi,2011,3.9,Diesel,71437.84
Audi,2011,3.9,Hybrid,57616.28
Audi,2011,3.9,Petrol,30351.09
Audi,2011,4.0,Hybrid,31162.33
Audi,2011,4.1,Diesel,35803.58
Audi,2011,4.1,Hybrid,52269.23
Audi,2011,4.1,Petrol,29634.8
Audi,2011,4.2,Electric,76331.09
Audi,2011,4.2,Hybrid,71638.67
Audi,2011,4.2,Petrol,17554.88
Audi,2011,4.3,Diesel,50524.99
Audi,2011,4.3,Electric,55507.77
Audi,2011,4.4,Diesel,24265.79
Audi,2011,4.4,Electric,48606.09
Audi,2011,4.5,Hybrid,15840.25
Audi,2011,4.6,Hybrid,62881.99
Audi,2011,4.6,Petrol,37847.55
Audi,2011,4.7,Diesel,18909.18
Audi,2011,4.7,Hybrid,66061.18
Audi,2011,4.7,Petrol,67010.15
Audi,2011,4.8,Diesel,34296.9
Audi,2011,4.8,Petrol,40006.27
Audi,2011,4.9,Electric,69972.47
Audi,2011,5.0,Diesel,69139.61
Audi,2012,1.0,Electric,34966.89
Audi,2012,1.0,Petrol,23252.24
Audi,2012,1.1,Hybrid,38412.24
Audi,2012,1.2,Diesel,57041.42
Audi,2012,1.2,Hybrid,36657.16
Audi,2012,1.3,Hybrid,23669.83
Audi,2012,1.3,Petrol,21036.77
Audi,2012,1.4,Electric,74644.07
Audi,2012,1.5,Diesel,48765.63
Audi,2012,1.5,Petrol,65425.17
Audi,2012,1.6,Electric,50835.16
Audi,2012,1.6,Hybrid,40679.01
Audi,2012,1.7,Diesel,51918.93
Audi,2012,1.7,Electric,68671.61
Audi,2012,1.7,Petrol,29993.64
Audi,2012,1.9,Hybrid,67091.8
Audi,2012,2.0,Diesel,44855.57
Audi,2012,2.0,Petrol,76113.36
Audi,2012,2.1,Petrol,66556.95
Audi,2012,2.3,Diesel,51470.16
Audi,2012,2.3,Electric,75122.46
Audi,2012,2.5,Electric,24897.99
Audi,2012,2.6,Diesel,20360.68
Audi,2012,2.6,Hybrid,56160.39
Audi,2012,2.6,Petrol,35550.57
Audi,2012,2.7,Hybrid,15196.99
Audi,2012,2.7,Petrol,18144.76
Audi,2012,2.8,Diesel,74149.06
Audi,2012,2.9,Hybrid,44355.39
Audi,2012,3.0,Petrol,41166.34
Audi,2012,3.1,Petrol,28940.61
Audi,2012,3.2,Diesel,39735.72
Audi,2012,3.2,Electric,61447.05
Audi,2012,3.3,Electric,52973.32
Audi,2012,3.3,Hybrid,79165.35
Audi,2012,3.4,Hybrid,42812.37
Audi,2012,3.5,Diesel,53343.54
Audi,2012,3.6,Electric,56940.22
Audi,2012,3.6,Petrol,38725.92
Audi,2012,3.7,Diesel,40789.28
Audi,2012,3.7,Petrol,67866.6
Audi,2012,3.8,Diesel,74108.97
Audi,2012,3.9,Diesel,73126.69
Audi,2012,3.9,Electric,40713.95
Audi,2012,3.9,Petrol,41117.79
Audi,2012,4.0,Electric,46052.84
